title,price,rating,reviews,availability,link,image_url,category,rank,website
"Duradry AM Deodorant & Antiperspirant - Prescription Strength Deodorant for Hyperhidrosis, Antiperspirant for Women & Men, Armpit Sweat Protection, Silicone-free - Barca, 2.3 Oz (Pack of 3)",$34.99,3.9 out of 5 stars,"2,126 ratings",In Stock,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Mjc2ODQ0MTA4MjkyODg4OjE2ODkwNTA3MTY6c3BfbXRmOjIwMDA2NzU2NTY3MjA5ODo6MDo6&url=%2FDuradry-Antiperspirant-Deodorant-Prescription-Prevention%2Fdp%2FB094DSYCVR%2Fref%3Dsr_1_14_sspa%3Fkeywords%3Dperfume%26qid%3D1689050716%26s%3Dbeauty-intl-ship%26sr%3D1-14-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/41rGddfotfL._SX300_SY300_QL70_ML2_.jpg,perfume,1059.891,amazon
Daixers 5Pcs Perfume Travel Bottle Refillable Portable Perfume Atomizer Bottles 5ml/0.2oz (Black),$9.99,4.3 out of 5 stars,47 ratings,In Stock,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Mjc2ODQ0MTA4MjkyODg4OjE2ODkwNTA3MTY6c3BfbXRmOjIwMDA5ODM0NDQ3MjQ5ODo6MDo6&url=%2FDaixers-Perfume-Refillable-Portable-Atomizer%2Fdp%2FB0BG7FD55K%2Fref%3Dsr_1_15_sspa%3Fkeywords%3Dperfume%26qid%3D1689050716%26s%3Dbeauty-intl-ship%26sr%3D1-15-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/617uBNZjuCL.__AC_SX300_SY300_QL70_ML2_.jpg,perfume,22.931,amazon
"Flowerbomb by Viktor & Rolf for Women, Eau de Parfum, Orchid, 3.4 Ounce Spray",$94.86,4.7 out of 5 stars,"3,496 ratings",In Stock,https://www.amazon.com/Flowerbomb-Viktor-Rolf-Women-Parfum/dp/B000P20U7G/ref=sr_1_16?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-16,https://m.media-amazon.com/images/I/41-FLoPdgtL._SX300_SY300_QL70_ML2_.jpg,perfume,1738.984,amazon
"Swiss Arabian Jamila - Luxury Products From Dubai - Long Lasting And Addictive Personal Perfume Oil Fragrance - A Seductive, Signature Aroma - The Luxurious Scent Of Arabia - 0.5 Oz",$20.28,4.2 out of 5 stars,"2,141 ratings",In Stock,https://www.amazon.com/SWISS-ARABIAN-Jamila-Women-Concentrated/dp/B076CR2S5C/ref=sr_1_17?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-17,https://m.media-amazon.com/images/I/41rAuvtaatL._SX300_SY300_QL70_ML2_.jpg,perfume,1068.892,amazon
"13 Moons Love Potion Number 7 Pheromone Infused Perfume Roll-on Oil, Strong Attraction Unisex Pheromones…",$19.95,3.9 out of 5 stars,96 ratings,In Stock,https://www.amazon.com/Pheromone-Infused-Perfume-Attraction-Pheromones/dp/B0B12ZNNHK/ref=sr_1_18?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-18,https://m.media-amazon.com/images/I/3135ZDSrndL._SX300_SY300_QL70_ML2_.jpg,perfume,46.395,amazon
Egyptian Goddess 1/3oz Auric Blends perfume,$11.99,4.2 out of 5 stars,"2,090 ratings",In Stock,https://www.amazon.com/Egyptian-Goddess-Auric-Blends-perfume/dp/B00NVYPZCU/ref=sr_1_20?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-20,https://m.media-amazon.com/images/I/41eG7rZM5BL._SX300_SY300_QL70_ML2_.jpg,perfume,1044.221,amazon
"Baicai Gold Concentrated Perfume Oil, Gold Perfume Oil, Arabian Perfume for Women, Retro Perfume Essential Oil Perfume Gift 35ML",$19.99,2.1 out of 5 stars,14 ratings,Only 1 left in stock - order soon,https://www.amazon.com/Baicai-Concentrated-Perfume-Arabian-Essential/dp/B0C6XXXVPP/ref=sr_1_21?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-21,https://m.media-amazon.com/images/I/51i5TsdZXLL._SX300_SY300_QL70_ML2_.jpg,perfume,5.211,amazon
"Blossom Roll on Rollerball Perfume Oil with Natural Ingredients + Essential Oils, Infused with Real Flowers, Made in USA, 0.20 fl. oz./5.9 ml, (Jasmine, Tulips, Oibanum, Pink Pepper), Classic Honey Jasmine",$9.00,4.0 out of 5 stars,"1,887 ratings",In Stock,https://www.amazon.com/Blossom-Roll-Perfume-Scent-Jasmine/dp/B071H9QRP6/ref=sr_1_23?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-23,https://m.media-amazon.com/images/I/31RJLU22nTL._SX300_SY300_QL70_ML2_.jpg,perfume,943.0,amazon
Dove Care Between Washes Hair Perfume Hair Fragrance For Sweat and Odors Go Active Hair Product for 24 Hour Protection 1.7 oz,$15.99,4.2 out of 5 stars,173 ratings,Only 6 left in stock - order soon,https://www.amazon.com/Between-Perfume-Fragrance-Product-Protection/dp/B084DHQRM6/ref=sr_1_25?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-25,https://m.media-amazon.com/images/I/31agO1F4g8L._SX300_SY300_QL70_ML2_.jpg,perfume,85.321,amazon
"Demeter Pistachio Ice Cream  Roll On Perfume Oil Fragrance Library, 0.33 Oz, Long-Lasting",$13.90,3.9 out of 5 stars,451 ratings,Only 16 left in stock - order soon,https://www.amazon.com/Demeter-Pistachio-Perfume-Fragrance-Library/dp/B018YM63ZQ/ref=sr_1_26?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-26,https://m.media-amazon.com/images/I/21HqOXNfvML._SX300_SY300_QL70_ML2_.jpg,perfume,224.5,amazon
Pure Instinct Roll-On - The Original Pheromone Infused Essential Oil Perfume Cologne - Unisex For Men and Women - TSA Ready,$16.95,3.9 out of 5 stars,"74,217 ratings",In Stock,https://www.amazon.com/Pure-Instinct-Pheromone-Bodycare-BeautyCare/dp/B00EJDG7XI/ref=sr_1_27?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-27,https://m.media-amazon.com/images/I/31bd+EDqjVL._SY300_SX300_.jpg,perfume,37107.195,amazon
Wresty 10 Pcs Blask Glass Spray Bottle 10ml Perfume Atomizer Refillable Travel Fine Mist Spray Bottle Liquid Fragrance Sample Atomizer Spray Bottles,$11.99,4.0 out of 5 stars,14 ratings,Only 10 left in stock - order soon,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Mjc2ODQ0MTA4MjkyODg4OjE2ODkwNTA3MTY6c3BfYnRmOjIwMDAzODQ4NTE5MDk5ODo6MDo6&url=%2FPerfume-Atomizer-Refillable-Fragrance-Bottles%2Fdp%2FB09CL4KTVB%2Fref%3Dsr_1_28_sspa%3Fkeywords%3Dperfume%26qid%3D1689050716%26s%3Dbeauty-intl-ship%26sr%3D1-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,https://m.media-amazon.com/images/I/513Kc5wd+pL._AC_SY300_SX300_.jpg,perfume,6.2010000000000005,amazon
"Travel perfume bottle refillable-mini perfume refillable bottle-perfume travel refillable-travel perfume atomizer refillable-Suitable for travel, vacation, camping, business trip.（5ml）(PTA-black)",$10.00,4.9 out of 5 stars,38 ratings,Only 9 left in stock - order soon,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Mjc2ODQ0MTA4MjkyODg4OjE2ODkwNTA3MTY6c3BfYnRmOjIwMDE2NDY1NzE1MDU5ODo6MDo6&url=%2Frefillable-mini-refillable-bottle-perfume-refillable-travel-refillable-Suitable_sspa%2Fdp%2FB0B9NB28RG%2Fref%3Dsr_1_29%3Fkeywords%3Dperfume%26qid%3D1689050716%26s%3Dbeauty-intl-ship%26sr%3D1-29-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,https://m.media-amazon.com/images/I/51GCpgLEkXL.__AC_SX300_SY300_QL70_ML2_.jpg,perfume,18.49,amazon
Kewjug Refillable Mini Perfume Atomizer Bottle，Portable Separate Bottles，Travel and Outings Spray Boxes Dispensers 5ml/0.2oz (Black),$3.99,3.9 out of 5 stars,269 ratings,In Stock,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Mjc2ODQ0MTA4MjkyODg4OjE2ODkwNTA3MTY6c3BfYnRmOjIwMDEzNTY3MDU1NzA5ODo6MDo6&url=%2FKewjug-Refillable-Bottle%25EF%25BC%258CPortable-Bottles%25EF%25BC%258CTravel-Dispensers%2Fdp%2FB0BWQN1RJF%2Fref%3Dsr_1_31_sspa%3Fkeywords%3Dperfume%26qid%3D1689050716%26s%3Dbeauty-intl-ship%26sr%3D1-31-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,https://m.media-amazon.com/images/I/511Afo3cjVL.__AC_SX300_SY300_QL70_ML2_.jpg,perfume,134.49099999999999,amazon
RawChemistry Bliss Pheromone Perfume for Women - Attraction for Men 1oz.,$29.90,3.7 out of 5 stars,372 ratings,In Stock,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Mjc2ODQ0MTA4MjkyODg4OjE2ODkwNTA3MTY6c3BfYnRmOjIwMDA5NzEzNDU5NDY5ODo6MDo6&url=%2FRawChemistry-Bliss-Pheromone-Perfume-Women%2Fdp%2FB0B98QZNZV%2Fref%3Dsr_1_32_sspa%3Fkeywords%3Dperfume%26qid%3D1689050716%26s%3Dbeauty-intl-ship%26sr%3D1-32-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,https://m.media-amazon.com/images/I/316JpFEPaCL._SY300_SX300_QL70_ML2_.jpg,perfume,183.38,amazon
Beetoo 12ML 6 Colors Portable Mini Travel Perfume Bottle Atomizer Refillable Empty Spray Bottle for Women & Men Spray Scent Aftershave,$13.88,4.2 out of 5 stars,62 ratings,Only 11 left in stock - order soon,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Mjc2ODQ0MTA4MjkyODg4OjE2ODkwNTA3MTY6c3BfYnRmOjIwMDA0MjU1MzA1MTg5ODo6MDo6&url=%2FBeeToo-Portable-Atomizer-Refillable-Aftershave%2Fdp%2FB0822WRY6B%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dperfume%26qid%3D1689050716%26s%3Dbeauty-intl-ship%26sr%3D1-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,https://m.media-amazon.com/images/I/61QqS4WjqwL.__AC_SX300_SY300_QL70_ML2_.jpg,perfume,30.032,amazon
"Swiss Arabian Layali - Luxury Products From Dubai - Long Lasting And Addictive Personal Perfume Oil Fragrance - A Seductive, Signature Aroma - The Luxurious Scent Of Arabia - 0.5 Oz",$23.00,4.2 out of 5 stars,"6,764 ratings",In Stock,https://www.amazon.com/SWISS-ARABIAN-Layali-Addictive-Fragrance/dp/B076CQLF5Z/ref=sr_1_1?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-1,https://m.media-amazon.com/images/I/411QjZ0WSSL._SX300_SY300_QL70_ML2_.jpg,perfume,3380.12,amazon
"Pacifica Beauty, Island Vanilla Hair Perfume & Body Mist, Best Warm Vanilla Scent, Natural + Essential Oils, Alcohol Free, 100% Vegan and Cruelty Free, Clean Fragrance",$8.40,4.2 out of 5 stars,"15,163 ratings",In Stock,https://www.amazon.com/Pacifica-Beauty-Island-Vanilla-Perfumed/dp/B072KXYGT2/ref=sr_1_2?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-2,https://m.media-amazon.com/images/I/31kHwyxY3uL._SX300_SY300_QL70_ML2_.jpg,perfume,7581.08,amazon
"HUIBAO Gold Arabian Concentrated Perfume Oil, Arabic Perfume for Women, Arabian Perfume Oil- Long Lasting A Seductive Perfume Oil (12ml)",$18.88,4.0 out of 5 stars,73 ratings,Only 9 left in stock - order soon,https://www.amazon.com/HUIBAO-Arabian-Concentrated-Perfume-Seductive/dp/B0C77X1888/ref=sr_1_3?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-3,https://m.media-amazon.com/images/I/51yODTVPdRL._SX300_SY300_QL70_ML2_.jpg,perfume,35.012,amazon
Pure Instinct CRAVE Roll-On The Original Pheromone Infused Essential Oil Perfume Cologne – For Her - TSA Ready 0.34 fl oz,$17.95,4.0 out of 5 stars,"13,447 ratings",In Stock,https://www.amazon.com/Pure-Instinct-Original-Pheromone-Essential/dp/B096LB7G9L/ref=sr_1_4?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-4,https://m.media-amazon.com/images/I/3194gfckRAL._SX300_SY300_QL70_ML2_.jpg,perfume,6722.105,amazon
"Vingtank 2Pcs Pheromone Perfume for Women,Long Lasting Pheromone Perfume,Pheromone Unisex Perfume Oil Roll On",$18.90,3.1 out of 5 stars,19 ratings,In Stock,https://www.amazon.com/Vingtank-Pheromone-Perfume-Lasting-Unisex/dp/B0BZV13MTV/ref=sr_1_5?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-5,https://m.media-amazon.com/images/I/41tc5jSZ-NL._SX300_SY300_QL70_ML2_.jpg,perfume,7.92,amazon
"2pc Lunex Ferro Perfume, Ferromont Roll-on Perfume for Women, P_h_e romone Perfume for Women, Ferromont Perfume Oil, Travel Perfume Long Wear, Perfume for Men and Women (Miss)",$17.99,2.8 out of 5 stars,9 ratings,In Stock,https://www.amazon.com/Lunex-Perfume-Ferromont-romone-Travel/dp/B0C85268M6/ref=sr_1_6?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-6,https://m.media-amazon.com/images/I/41pkziPag4L._SX300_SY300_QL70_ML2_.jpg,perfume,2.981,amazon
"PIRETTE Mini Fragrance Oil, Women’s Beach Inspired Perfume Oil, Notes of Fresh Coconut, Surf Wax & Sunscreen, 0.25 Fl Oz",$28.00,4.3 out of 5 stars,616 ratings,In Stock,https://www.amazon.com/PIRETTE-Fragrance-Inspired-Perfume-Sunscreen/dp/B0BJRWF73Y/ref=sr_1_7?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-7,https://m.media-amazon.com/images/I/31PY6qxP6oL._SX300_SY300_QL70_ML2_.jpg,perfume,305.63,amazon
"2Pcs Lunex Phero Perfume, Verola Perfume for Women, Phero Perfume for Women, Portable Perfume Long Lasting Female",$16.99,3.3 out of 5 stars,80 ratings,In Stock,https://www.amazon.com/Perfume-Verola-Portable-Lasting-Female/dp/B0BWXMW5JK/ref=sr_1_8?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-8,https://m.media-amazon.com/images/I/41xhxt9HFyL._SX300_SY300_QL70_ML2_.jpg,perfume,38.631,amazon
Bath and Body Works CHAMPAGNE TOAST Fine Fragrance Mist - NEW LOOKS 2022 - PACK OF 2 ( FULL SIZE MIST 8FL OZ / 236 ML ),$33.42,5.0 out of 5 stars,6 ratings,Only 5 left in stock - order soon,https://www.amazon.com/Bath-Body-Works-CHAMPAGNE-Fragrance/dp/B09XT4QB6P/ref=sr_1_10?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-10,https://m.media-amazon.com/images/I/41FMAVGSVIL._SX300_SY300_QL70_ML2_.jpg,perfume,0.15799999999999947,amazon
"ROSARDEN Travel Mini perfume Refillable Atomizer Container, Portable, Travel Size, Scent Pump Case, Fragrance Empty spray bottle for Traveling and Outgoing 5ml (2Pcs)",$5.99,4.3 out of 5 stars,"3,827 ratings",In Stock,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Mjc2ODQ0MTA4MjkyODg4OjE2ODkwNTA3MTY6c3BfbXRmOjIwMDE3OTUwMDgzNjQ5ODo6MDo6&url=%2FRefillable-Atomizer-Container-Fragrance-Traveling%2Fdp%2FB09NXVJ25C%2Fref%3Dsr_1_13_sspa%3Fkeywords%3Dperfume%26qid%3D1689050716%26s%3Dbeauty-intl-ship%26sr%3D1-13-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DA3UD1HW83573WA,https://m.media-amazon.com/images/I/51kfbGJZM4L.__AC_SX300_SY300_QL70_ML2_.jpg,perfume,1913.3310000000001,amazon
"Duradry AM Deodorant & Antiperspirant - Prescription Strength Deodorant for Hyperhidrosis, Antiperspirant for Women & Men, Armpit Sweat Protection, Silicone-free - Barca, 2.3 Oz (Pack of 3)",$34.99,3.9 out of 5 stars,"2,126 ratings",In Stock,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Mjc2ODQ0MTA4MjkyODg4OjE2ODkwNTA3MTY6c3BfbXRmOjIwMDA2NzU2NTY3MjA5ODo6MDo6&url=%2FDuradry-Antiperspirant-Deodorant-Prescription-Prevention%2Fdp%2FB094DSYCVR%2Fref%3Dsr_1_14_sspa%3Fkeywords%3Dperfume%26qid%3D1689050716%26s%3Dbeauty-intl-ship%26sr%3D1-14-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/41rGddfotfL._SX300_SY300_QL70_ML2_.jpg,perfume,1059.891,amazon
Daixers 5Pcs Perfume Travel Bottle Refillable Portable Perfume Atomizer Bottles 5ml/0.2oz (Black),$9.99,4.3 out of 5 stars,47 ratings,In Stock,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Mjc2ODQ0MTA4MjkyODg4OjE2ODkwNTA3MTY6c3BfbXRmOjIwMDA5ODM0NDQ3MjQ5ODo6MDo6&url=%2FDaixers-Perfume-Refillable-Portable-Atomizer%2Fdp%2FB0BG7FD55K%2Fref%3Dsr_1_15_sspa%3Fkeywords%3Dperfume%26qid%3D1689050716%26s%3Dbeauty-intl-ship%26sr%3D1-15-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/617uBNZjuCL.__AC_SX300_SY300_QL70_ML2_.jpg,perfume,22.931,amazon
"Flowerbomb by Viktor & Rolf for Women, Eau de Parfum, Orchid, 3.4 Ounce Spray",$94.86,4.7 out of 5 stars,"3,496 ratings",In Stock,https://www.amazon.com/Flowerbomb-Viktor-Rolf-Women-Parfum/dp/B000P20U7G/ref=sr_1_16?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-16,https://m.media-amazon.com/images/I/41-FLoPdgtL._SX300_SY300_QL70_ML2_.jpg,perfume,1738.984,amazon
"Swiss Arabian Jamila - Luxury Products From Dubai - Long Lasting And Addictive Personal Perfume Oil Fragrance - A Seductive, Signature Aroma - The Luxurious Scent Of Arabia - 0.5 Oz",$20.28,4.2 out of 5 stars,"2,141 ratings",In Stock,https://www.amazon.com/SWISS-ARABIAN-Jamila-Women-Concentrated/dp/B076CR2S5C/ref=sr_1_17?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-17,https://m.media-amazon.com/images/I/41rAuvtaatL._SX300_SY300_QL70_ML2_.jpg,perfume,1068.892,amazon
"13 Moons Love Potion Number 7 Pheromone Infused Perfume Roll-on Oil, Strong Attraction Unisex Pheromones…",$19.95,3.9 out of 5 stars,96 ratings,In Stock,https://www.amazon.com/Pheromone-Infused-Perfume-Attraction-Pheromones/dp/B0B12ZNNHK/ref=sr_1_18?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-18,https://m.media-amazon.com/images/I/3135ZDSrndL._SX300_SY300_QL70_ML2_.jpg,perfume,46.395,amazon
Egyptian Goddess 1/3oz Auric Blends perfume,$11.99,4.2 out of 5 stars,"2,090 ratings",In Stock,https://www.amazon.com/Egyptian-Goddess-Auric-Blends-perfume/dp/B00NVYPZCU/ref=sr_1_20?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-20,https://m.media-amazon.com/images/I/41eG7rZM5BL._SX300_SY300_QL70_ML2_.jpg,perfume,1044.221,amazon
"Baicai Gold Concentrated Perfume Oil, Gold Perfume Oil, Arabian Perfume for Women, Retro Perfume Essential Oil Perfume Gift 35ML",$19.99,2.1 out of 5 stars,14 ratings,Only 1 left in stock - order soon,https://www.amazon.com/Baicai-Concentrated-Perfume-Arabian-Essential/dp/B0C6XXXVPP/ref=sr_1_21?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-21,https://m.media-amazon.com/images/I/51i5TsdZXLL._SX300_SY300_QL70_ML2_.jpg,perfume,5.211,amazon
"Blossom Roll on Rollerball Perfume Oil with Natural Ingredients + Essential Oils, Infused with Real Flowers, Made in USA, 0.20 fl. oz./5.9 ml, (Jasmine, Tulips, Oibanum, Pink Pepper), Classic Honey Jasmine",$9.00,4.0 out of 5 stars,"1,887 ratings",In Stock,https://www.amazon.com/Blossom-Roll-Perfume-Scent-Jasmine/dp/B071H9QRP6/ref=sr_1_23?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-23,https://m.media-amazon.com/images/I/31RJLU22nTL._SX300_SY300_QL70_ML2_.jpg,perfume,943.0,amazon
Dove Care Between Washes Hair Perfume Hair Fragrance For Sweat and Odors Go Active Hair Product for 24 Hour Protection 1.7 oz,$15.99,4.2 out of 5 stars,173 ratings,Only 6 left in stock - order soon,https://www.amazon.com/Between-Perfume-Fragrance-Product-Protection/dp/B084DHQRM6/ref=sr_1_25?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-25,https://m.media-amazon.com/images/I/31agO1F4g8L._SX300_SY300_QL70_ML2_.jpg,perfume,85.321,amazon
"Demeter Pistachio Ice Cream  Roll On Perfume Oil Fragrance Library, 0.33 Oz, Long-Lasting",$13.90,3.9 out of 5 stars,451 ratings,Only 16 left in stock - order soon,https://www.amazon.com/Demeter-Pistachio-Perfume-Fragrance-Library/dp/B018YM63ZQ/ref=sr_1_26?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-26,https://m.media-amazon.com/images/I/21HqOXNfvML._SX300_SY300_QL70_ML2_.jpg,perfume,224.5,amazon
